Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.33.40	-46.47683	-23.61204	TIM	4G	-98	33	833	
2023.10.15_15.33.42	-46.47697	-23.61204	TIM	4G	-104	26	831	
2023.10.15_15.33.42	-46.47697	-23.61204	TIM	4G	-102	26	831	
2023.10.15_15.33.44	-46.47697	-23.61204	TIM	5G	-93	26	831	
2023.10.15_15.33.45	-46.47709	-23.61208	TIM	5G	-93	19	831	
2023.10.15_15.33.46	-46.47709	-23.61208	TIM	4G	-87	19	831	
2023.10.15_15.33.48	-46.47709	-23.61208	TIM	5G	-93	19	831	
2023.10.15_15.33.49	-46.47720	-23.61211	TIM	5G	-93	10	832	
2023.10.15_15.33.50	-46.47720	-23.61211	TIM	5G	-93	10	832	
2023.10.15_15.33.52	-46.47720	-23.61211	TIM	4G	-90	10	832	
2023.10.15_15.33.59	-46.47727	-23.61203	TIM	4G	-85	10	832	
2023.10.15_15.34.12	-46.47727	-23.61203	TIM	4G	-86	0	832	
2023.10.15_15.34.13	-46.47735	-23.61197	TIM	4G	-86	16	832	
2023.10.15_15.34.16	-46.47745	-23.61175	TIM	5G	-91	16	832	
2023.10.15_15.34.18	-46.47745	-23.61175	TIM	4G	-100	16	832	
2023.10.15_15.34.23	-46.47755	-23.61170	TIM	4G	-110	10	832	
2023.10.15_15.34.26	-46.47755	-23.61170	TIM	4G	-107	10	832	
2023.10.15_15.34.31	-46.47755	-23.61170	TIM	5G	-91	10	832	
2023.10.15_15.34.32	-46.47769	-23.61177	TIM	5G	-91	18	832	
2023.10.15_15.34.34	-46.47780	-23.61179	TIM	5G	-91	23	832	
2023.10.15_15.34.36	-46.47797	-23.61186	TIM	5G	-90	29	832	
2023.10.15_15.34.37	-46.47801	-23.61202	TIM	5G	-90	32	832	
2023.10.15_15.34.37	-46.47801	-23.61202	TIM	5G	-90	32	832	
2023.10.15_15.34.38	-46.47799	-23.61231	TIM	5G	-102	30	832	
2023.10.15_15.34.40	-46.47815	-23.61230	TIM	4G	-92	29	830	
2023.10.15_15.34.41	-46.47827	-23.61234	TIM	5G	-92	35	830	
2023.10.15_15.34.41	-46.47827	-23.61234	TIM	5G	-92	35	830	
2023.10.15_15.34.42	-46.47838	-23.61236	TIM	5G	-92	36	829	
2023.10.15_15.34.43	-46.47848	-23.61239	TIM	5G	-92	35	832	
2023.10.15_15.34.43	-46.47848	-23.61239	TIM	4G	-103	35	832	
2023.10.15_15.34.44	-46.47858	-23.61242	TIM	4G	-103	37	832	
2023.10.15_15.34.45	-46.47868	-23.61245	TIM	4G	-92	37	833	
2023.10.15_15.34.45	-46.47868	-23.61245	TIM	5G	-92	37	833	
2023.10.15_15.34.46	-46.47879	-23.61246	TIM	5G	-92	37	833	
2023.10.15_15.34.47	-46.47889	-23.61250	TIM	5G	-91	37	834	
2023.10.15_15.34.48	-46.47900	-23.61253	TIM	5G	-91	39	833	
2023.10.15_15.34.49	-46.47900	-23.61253	TIM	5G	-91	39	833	
2023.10.15_15.34.50	-46.47920	-23.61256	TIM	5G	-91	38	836	
2023.10.15_15.34.52	-46.47938	-23.61262	TIM	5G	-91	37	834	
