Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.11.24_22.51.00	-46.48531	-23.61007	VIVO	4G	-340	31	842	
2023.11.24_22.51.01	-46.48518	-23.61010	VIVO	4G	-340	30	837	
2023.11.24_22.51.01	-46.48518	-23.61010	VIVO	4G	-340	30	837	
2023.11.24_22.51.03	-46.48506	-23.61013	VIVO	4G	-340	28	836	
2023.11.24_22.51.03	-46.48506	-23.61013	VIVO	4G	-108	28	836	
2023.11.24_22.51.04	-46.48495	-23.61012	VIVO	4G	-108	28	833	
2023.11.24_22.51.05	-46.48495	-23.61012	VIVO	4G	-107	28	833	
2023.11.24_22.51.06	-46.48479	-23.61013	VIVO	4G	-107	26	825	
2023.11.24_22.51.07	-46.48479	-23.61013	VIVO	4G	-107	26	825	
2023.11.24_22.51.08	-46.48466	-23.61019	VIVO	4G	-107	25	819	
2023.11.24_22.51.09	-46.48466	-23.61019	VIVO	4G	-110	25	819	
2023.11.24_22.51.10	-46.48450	-23.61024	VIVO	4G	-110	26	818	
2023.11.24_22.51.10	-46.48450	-23.61024	VIVO	4G	-102	26	818	
2023.11.24_22.51.12	-46.48436	-23.61031	VIVO	4G	-102	26	819	
2023.11.24_22.51.13	-46.48425	-23.61035	VIVO	4G	-104	27	821	
2023.11.24_22.51.14	-46.48416	-23.61040	VIVO	4G	-104	27	822	
2023.11.24_22.51.14	-46.48416	-23.61040	VIVO	4G	-101	27	822	
2023.11.24_22.51.16	-46.48406	-23.61048	VIVO	4G	-101	27	818	
2023.11.24_22.51.17	-46.48406	-23.61048	VIVO	4G	-101	27	818	
2023.11.24_22.51.18	-46.48393	-23.61056	VIVO	4G	-101	26	816	
2023.11.24_22.51.20	-46.48385	-23.61068	VIVO	4G	-98	24	814	
2023.11.24_22.51.22	-46.48377	-23.61081	VIVO	4G	-98	23	814	
2023.11.24_22.51.24	-46.48367	-23.61093	VIVO	4G	-110	26	815	
2023.11.24_22.51.24	-46.48367	-23.61093	VIVO	4G	-340	26	815	
2023.11.24_22.51.26	-46.48357	-23.61106	VIVO	4G	-340	25	815	
2023.11.24_22.51.28	-46.48353	-23.61119	VIVO	4G	-104	24	817	
2023.11.24_22.51.29	-46.48353	-23.61119	VIVO	4G	-96	24	817	
2023.11.24_22.51.30	-46.48346	-23.61132	VIVO	4G	-96	23	818	
2023.11.24_22.51.32	-46.48339	-23.61145	VIVO	4G	-93	23	817	
2023.11.24_22.51.34	-46.48334	-23.61158	VIVO	4G	-93	25	817	
2023.11.24_22.51.36	-46.48329	-23.61170	VIVO	4G	-96	27	815	
2023.11.24_22.51.38	-46.48326	-23.61185	VIVO	4G	-105	26	815	
2023.11.24_22.51.38	-46.48326	-23.61185	VIVO	4G	-99	26	815	
2023.11.24_22.51.40	-46.48320	-23.61199	VIVO	4G	-99	29	815	
2023.11.24_22.51.42	-46.48313	-23.61213	VIVO	4G	-101	28	817	
2023.11.24_22.51.44	-46.48305	-23.61224	VIVO	4G	-101	28	819	
2023.11.24_22.51.45	-46.48305	-23.61224	VIVO	4G	-100	28	819	
2023.11.24_22.51.46	-46.48299	-23.61232	VIVO	4G	-100	28	819	
2023.11.24_22.51.48	-46.48287	-23.61241	VIVO	4G	-101	28	821	
2023.11.24_22.51.50	-46.48273	-23.61247	VIVO	4G	-101	25	822	
2023.11.24_22.51.50	-46.48273	-23.61247	VIVO	4G	-340	25	822	
2023.11.24_22.51.52	-46.48259	-23.61252	VIVO	4G	-340	27	823	
2023.11.24_22.51.52	-46.48259	-23.61252	VIVO	4G	-105	27	823	
2023.11.24_22.51.54	-46.48245	-23.61256	VIVO	4G	-105	30	824	
2023.11.24_22.51.55	-46.48245	-23.61256	VIVO	4G	-102	30	824	
2023.11.24_22.51.56	-46.48232	-23.61261	VIVO	4G	-102	28	828	
2023.11.24_22.51.58	-46.48218	-23.61262	VIVO	4G	-105	27	829	
2023.11.24_22.52.00	-46.48203	-23.61260	VIVO	4G	-102	35	830	
2023.11.24_22.52.01	-46.48191	-23.61254	VIVO	4G	-102	42	830	
2023.11.24_22.52.02	-46.48181	-23.61252	VIVO	4G	-102	40	830	
2023.11.24_22.52.04	-46.48166	-23.61247	VIVO	4G	-101	36	831	
2023.11.24_22.52.05	-46.48166	-23.61247	VIVO	4G	-108	36	831	
2023.11.24_22.52.06	-46.48156	-23.61244	VIVO	4G	-108	26	831	
2023.11.24_22.52.08	-46.48144	-23.61242	VIVO	4G	-108	26	834	
2023.11.24_22.52.08	-46.48144	-23.61242	VIVO	4G	-100	26	834	
2023.11.24_22.52.10	-46.48133	-23.61240	VIVO	4G	-100	26	835	
2023.11.24_22.52.12	-46.48123	-23.61239	VIVO	4G	-102	23	835	
2023.11.24_22.52.12	-46.48123	-23.61239	VIVO	4G	-104	23	835	
2023.11.24_22.52.15	-46.48092	-23.61261	VIVO	4G	-102	25	874	
2023.11.24_22.52.17	-46.48081	-23.61268	VIVO	4G	-102	31	870	
2023.11.24_22.52.19	-46.48063	-23.61268	VIVO	4G	-104	28	868	
2023.11.24_22.52.20	-46.48063	-23.61268	VIVO	4G	-96	28	868	
2023.11.24_22.52.21	-46.48048	-23.61268	VIVO	4G	-96	28	866	
2023.11.24_22.52.22	-46.48048	-23.61268	VIVO	4G	-89	28	866	
2023.11.24_22.52.22	-46.48036	-23.61265	VIVO	4G	-89	29	859	
2023.11.24_22.52.23	-46.48025	-23.61263	VIVO	4G	-87	31	856	
2023.11.24_22.52.25	-46.48014	-23.61262	VIVO	4G	-87	29	854	
2023.11.24_22.52.26	-46.47998	-23.61263	VIVO	4G	-92	25	851	
2023.11.24_22.52.28	-46.47983	-23.61265	VIVO	4G	-87	25	849	
2023.11.24_22.52.30	-46.47970	-23.61268	VIVO	4G	-88	24	848	
2023.11.24_22.52.32	-46.47953	-23.61268	VIVO	4G	-91	27	849	
2023.11.24_22.52.34	-46.47937	-23.61268	VIVO	4G	-83	30	848	
2023.11.24_22.52.37	-46.47920	-23.61266	VIVO	4G	-85	27	849	
2023.11.24_22.52.38	-46.47906	-23.61268	VIVO	4G	-82	29	848	
2023.11.24_22.52.41	-46.47892	-23.61268	VIVO	4G	-79	26	848	
2023.11.24_22.52.42	-46.47879	-23.61265	VIVO	4G	-79	29	847	
2023.11.24_22.52.44	-46.47868	-23.61263	VIVO	4G	-86	24	844	
2023.11.24_22.52.47	-46.47853	-23.61259	VIVO	4G	-85	29	841	
2023.11.24_22.52.48	-46.47839	-23.61257	VIVO	4G	-88	27	838	
2023.11.24_22.52.50	-46.47823	-23.61255	VIVO	4G	-89	27	837	
2023.11.24_22.52.52	-46.47808	-23.61252	VIVO	4G	-91	26	836	
2023.11.24_22.52.54	-46.47795	-23.61248	VIVO	4G	-340	24	835	
2023.11.24_22.52.55	-46.47795	-23.61248	VIVO	4G	-98	24	835	
2023.11.24_22.52.56	-46.47780	-23.61245	VIVO	4G	-98	31	835	
2023.11.24_22.52.58	-46.47764	-23.61242	VIVO	4G	-95	31	836	
2023.11.24_22.53.00	-46.47764	-23.61242	VIVO	4G	-87	31	836	
2023.11.24_22.53.01	-46.47750	-23.61239	VIVO	4G	-87	26	837	
2023.11.24_22.53.02	-46.47740	-23.61235	VIVO	4G	-90	21	838	
2023.11.24_22.53.06	-46.47727	-23.61232	VIVO	4G	-86	15	837	
2023.11.24_22.53.17	-46.47718	-23.61240	VIVO	4G	-91	0	835	
2023.11.24_22.53.24	-46.47718	-23.61240	VIVO	4G	-88	0	835	
2023.11.24_22.53.25	-46.47723	-23.61249	VIVO	4G	-88	0	827	
2023.11.24_22.53.28	-46.47723	-23.61249	VIVO	4G	-87	0	827	
2023.11.24_22.53.39	-46.47724	-23.61259	VIVO	4G	-92	12	824	
2023.11.24_22.53.42	-46.47715	-23.61270	VIVO	4G	-92	16	824	
2023.11.24_22.53.44	-46.47704	-23.61271	VIVO	4G	-340	20	824	
2023.11.24_22.53.46	-46.47704	-23.61271	VIVO	4G	-86	20	824	
2023.11.24_22.53.46	-46.47690	-23.61275	VIVO	4G	-86	27	824	
2023.11.24_22.53.48	-46.47675	-23.61275	VIVO	4G	-86	25	824	
2023.11.24_22.53.51	-46.47661	-23.61268	VIVO	4G	-85	24	824	
2023.11.24_22.53.51	-46.47655	-23.61260	VIVO	4G	-83	24	823	
2023.11.24_22.53.53	-46.47641	-23.61255	VIVO	4G	-86	27	823	
2023.11.24_22.53.56	-46.47628	-23.61243	VIVO	4G	-87	26	823	
2023.11.24_22.53.57	-46.47623	-23.61234	VIVO	4G	-87	26	823	
2023.11.24_22.53.57	-46.47623	-23.61234	VIVO	4G	-85	26	823	
2023.11.24_22.53.57	-46.47619	-23.61222	VIVO	4G	-85	26	823	
2023.11.24_22.53.58	-46.47615	-23.61213	VIVO	4G	-85	25	823	
2023.11.24_22.54.00	-46.47615	-23.61213	VIVO	4G	-340	25	823	
2023.11.24_22.54.01	-46.47600	-23.61204	VIVO	4G	-340	28	823	
2023.11.24_22.54.02	-46.47600	-23.61204	VIVO	4G	-78	28	823	
2023.11.24_22.54.03	-46.47588	-23.61195	VIVO	4G	-78	23	824	
2023.11.24_22.54.05	-46.47576	-23.61186	VIVO	4G	-78	26	824	
2023.11.24_22.54.07	-46.47564	-23.61176	VIVO	4G	-83	29	825	
2023.11.24_22.54.08	-46.47553	-23.61164	VIVO	4G	-86	27	825	
2023.11.24_22.54.11	-46.47544	-23.61153	VIVO	4G	-83	28	826	
2023.11.24_22.54.13	-46.47536	-23.61140	VIVO	4G	-86	27	827	
2023.11.24_22.54.15	-46.47528	-23.61128	VIVO	4G	-88	28	828	
2023.11.24_22.54.17	-46.47519	-23.61114	VIVO	4G	-89	28	828	
2023.11.24_22.54.17	-46.47519	-23.61114	VIVO	4G	-78	28	828	
2023.11.24_22.54.19	-46.47508	-23.61099	VIVO	4G	-81	32	830	
2023.11.24_22.54.20	-46.47503	-23.61092	VIVO	4G	-81	37	831	
2023.11.24_22.54.21	-46.47497	-23.61083	VIVO	4G	-76	44	832	
2023.11.24_22.54.22	-46.47489	-23.61072	VIVO	4G	-76	44	833	
2023.11.24_22.54.23	-46.47480	-23.61061	VIVO	4G	-79	49	834	
2023.11.24_22.54.24	-46.47471	-23.61049	VIVO	4G	-79	52	845	
2023.11.24_22.54.25	-46.47461	-23.61038	VIVO	4G	-86	57	849	
2023.11.24_22.54.26	-46.47450	-23.61027	VIVO	4G	-86	61	854	
2023.11.24_22.54.27	-46.47437	-23.61016	VIVO	4G	-86	64	854	
2023.11.24_22.54.27	-46.47437	-23.61016	VIVO	4G	-88	64	854	
2023.11.24_22.54.28	-46.47423	-23.61004	VIVO	4G	-88	70	854	
2023.11.24_22.54.29	-46.47408	-23.60993	VIVO	4G	-88	69	855	
2023.11.24_22.54.30	-46.47392	-23.60983	VIVO	4G	-340	70	851	
2023.11.24_22.54.30	-46.47376	-23.60973	VIVO	4G	-340	69	852	
2023.11.24_22.54.32	-46.47360	-23.60965	VIVO	4G	-101	67	852	
2023.11.24_22.54.32	-46.47360	-23.60965	VIVO	4G	-97	67	852	
2023.11.24_22.54.32	-46.47344	-23.60956	VIVO	4G	-97	68	852	
2023.11.24_22.54.33	-46.47344	-23.60956	VIVO	4G	-98	68	852	
2023.11.24_22.54.33	-46.47328	-23.60946	VIVO	4G	-98	68	853	
2023.11.24_22.54.34	-46.47314	-23.60935	VIVO	4G	-98	71	855	
2023.11.24_22.54.36	-46.47300	-23.60923	VIVO	4G	-98	70	855	
2023.11.24_22.54.37	-46.47288	-23.60909	VIVO	4G	-98	70	855	
2023.11.24_22.54.37	-46.47288	-23.60909	VIVO	4G	-94	70	855	
2023.11.24_22.54.37	-46.47277	-23.60895	VIVO	4G	-94	70	855	
2023.11.24_22.54.39	-46.47269	-23.60879	VIVO	4G	-94	72	855	
2023.11.24_22.54.40	-46.47260	-23.60863	VIVO	4G	-92	68	856	
2023.11.24_22.54.41	-46.47253	-23.60847	VIVO	4G	-92	68	856	
2023.11.24_22.54.41	-46.47248	-23.60830	VIVO	4G	-92	69	856	
2023.11.24_22.54.42	-46.47248	-23.60830	VIVO	4G	-340	69	856	
2023.11.24_22.54.43	-46.47244	-23.60813	VIVO	4G	-340	68	856	
2023.11.24_22.54.43	-46.47241	-23.60796	VIVO	4G	-340	69	856	
2023.11.24_22.54.44	-46.47238	-23.60780	VIVO	4G	-340	67	856	
2023.11.24_22.54.46	-46.47234	-23.60763	VIVO	4G	-87	69	856	
2023.11.24_22.54.47	-46.47229	-23.60746	VIVO	4G	-87	70	855	
2023.11.24_22.54.48	-46.47222	-23.60728	VIVO	4G	-86	70	854	
2023.11.24_22.54.49	-46.47215	-23.60712	VIVO	4G	-86	69	853	
2023.11.24_22.54.50	-46.47207	-23.60697	VIVO	4G	-86	65	852	
2023.11.24_22.54.50	-46.47207	-23.60697	VIVO	4G	-85	65	852	
2023.11.24_22.54.51	-46.47196	-23.60682	VIVO	4G	-85	64	849	
2023.11.24_22.54.52	-46.47186	-23.60670	VIVO	4G	-85	60	847	
2023.11.24_22.54.53	-46.47176	-23.60659	VIVO	4G	-83	58	846	
2023.11.24_22.54.53	-46.47165	-23.60647	VIVO	4G	-83	59	845	
